id,value,feed_id,created_at,lat,lon,ele
0EADWBSQ2YM5YP33N095XM4E31,"50.3,36.1,40.3,37.0,33.5,35.9,104.3,,57.3,,36.2, , 37.5,70.2,995.0,501.3,133.3",1235641,2019-12-01 02:24:31 UTC,,,
0EADWBYA1A05827C5THS7B4XVC,"50.5,36.1,40.3,37.1,33.5,36.1,104.3,,57.5,,36.2, , 37.5,70.4,995.0,501.9,133.2",1235641,2019-12-01 02:24:46 UTC,,,
0EADWC2W4GEFKB0Y8Y0JTYB0CD,"50.5,36.2,40.4,37.1,33.5,36.2,104.4,,57.9,,35.9, , 37.6,70.4,995.0,501.3,132.8",1235641,2019-12-01 02:25:01 UTC,,,
0EADWC7EGK8FF4YZ6QYRCNRZXJ,"50.6,36.3,40.4,37.3,33.5,36.2,104.5,,58.3,,35.9, , 37.7,70.5,995.0,500.7,132.0",1235641,2019-12-01 02:25:16 UTC,,,
0EADWCC1AY74YZ6T3QBAF06ZP9,"50.8,36.4,40.5,37.4,33.5,36.3,104.7,,58.3,,35.8, , 37.7,70.5,995.0,501.3,132.6",1235641,2019-12-01 02:25:31 UTC,,,
0EADWCGKGW68KX1DKW75G88ZRE,"51.0,36.4,40.6,37.5,33.7,36.4,104.8,,58.3,,35.9, , 37.7,70.6,995.0,500.5,131.5",1235641,2019-12-01 02:25:46 UTC,,,
0EADWCN6GRNRFNRTG3E4TK7ZQT,"51.1,36.5,40.7,37.4,33.5,36.5,104.8,,58.4,,35.8, , 37.8,70.7,995.0,500.7,131.0",1235641,2019-12-01 02:26:01 UTC,,,
0EADWCSRSZAY2RJB3FEHVMAZRW,"51.1,36.6,40.9,37.5,33.7,36.5,104.8,,58.8,,35.8, , 37.9,70.8,995.0,500.5,131.7",1235641,2019-12-01 02:26:16 UTC,,,
0EADWCYAYRKKJGW3A6640TMTGD,"51.2,36.6,40.9,37.6,33.7,36.5,104.9,,58.9,,35.9, , 37.9,70.7,995.0,500.7,130.8",1235641,2019-12-01 02:26:31 UTC,,,
0EADWD2XKA7RBDX1HQD818TW6M,"51.2,36.7,41.0,37.7,33.7,36.6,105.3,,59.0,,35.9, , 38.0,70.9,995.0,500.7,131.3",1235641,2019-12-01 02:26:46 UTC,,,
0EADWD7G3Y48TFQW5PBN6Q5RR1,"51.4,36.8,41.1,37.7,33.7,36.7,105.4,,59.2,,36.2, , 38.0,71.0,995.0,500.7,130.4",1235641,2019-12-01 02:27:01 UTC,,,
0EADWDC2NR6QX93W46TDA1DVT4,"51.5,37.0,41.1,37.8,33.7,36.7,105.5,,59.6,,36.4, , 38.1,71.0,995.0,500.5,130.4",1235641,2019-12-01 02:27:16 UTC,,,
0EADWDGMN91BJ9ADSHRS0QJZ55,"51.5,37.0,41.1,37.8,33.8,37.0,105.5,,59.6,,36.5, , 38.1,71.1,995.0,500.5,129.9",1235641,2019-12-01 02:27:31 UTC,,,
0EADWDN786QRKNZ2JQEJ6CVXDX,"51.8,37.1,41.3,37.9,33.8,37.0,105.4,,59.7,,36.6, , 38.2,71.1,995.0,499.9,131.3",1235641,2019-12-01 02:27:46 UTC,,,
